SAMD11,NM_152486.2
CAPG,NM_001747.3
MAT2A,NM_005911.5
GGCX,NM_000821.5
SFTPB,NM_198843.2
ST3GAL5,NM_003896.3
POLR1A,NM_015425.3
REEP1,NM_001164732.1
REEP1,NM_022912.2
KDM3A,NM_018433.5
CD8A,NM_001768.6
FABP1,NM_001443.2
EIF2AK3,NM_004836.5
RPIA,NM_144563.2
TEKT4,NM_144705.3
ADRA2B,NM_000682.6
ASTL,NM_001002036.3
TMEM127,NM_017849.3
CIAO1,NM_004804.2
SNRNP200,NM_014014.4
NCAPH,NM_015341.4
ARID5A,NM_212481.1
LMAN2L,NM_001142292.1
CNNM4,NM_020184.3
CNNM3,NM_017623.4
ZAP70,NM_001079.3
VWA3B,NM_144992.4
CNGA3,NM_001298.2
INPP4A,NM_001134224.1
INPP4A,NM_001566.2
COA5,NM_001008215.2
UNC50,NM_014044.5
LIPT1,NM_145199.2
REV1,NM_016316.2
NMS,NM_001011717.1
NPAS2,NM_002518.3
RPL31,NM_001098577.2
TBC1D8,NM_001102426.1
RFX8,NM_001145664.1
MAP4K4,NM_145686.3
IL1RL2,NM_003854.2
IL1RL1,NM_016232.4
SLC9A4,NM_001011552.3
MFSD9,NM_032718.3
POU3F3,NM_006236.1
GPR45,NM_007227.3
TGFBRAP1,NM_004257.5
FHL2,NM_201555.1
SLC5A7,NM_021815.3
SULT1C3,NM_001008743.1
SULT1C2,NM_001056.3
GCC2,NM_181453.3
RANBP2,NM_006267.4
EDAR,NM_022336.3
NPHP1,NM_000272.3
BUB1,NM_004336.4
BCL2L11,NM_138621.4
MERTK,NM_006343.2
TMEM87B,NM_032824.2
ZC3H6,NM_198581.2
CKAP2L,NM_152515.4
IL1A,NM_000575.3
IL1B,NM_000576.2
IL36B,NM_014438.4
IL36RN,NM_012275.2
IL1RN,NM_173841.2
PAX8,NM_003466.3
PAX8,NM_013952.3
SLC35F5,NM_025181.3
INSIG2,NM_016133.2
EN1,NM_001426.3
STEAP3,NM_001008410.1
DBI,NM_001079862.2
EPB41L5,NM_001184939.1
INHBB,NM_002193.2
GLI2,NM_005270.4
CLASP1,NM_015282.2
CNTNAP5,NM_130773.3
GYPC,NM_002101.4
BIN1,NM_139343.2
BIN1,NM_004305.3
ERCC3,NM_000122.1
PROC,NM_000312.3
MYO7B,NM_001080527.1
LIMS2,NM_001136037.2
SAP130,NM_001145928.1
HS6ST1,NM_004807.2
TUBA3E,NM_207312.2
CCDC115,NM_032357.3
CFC1,NM_032545.3
ACMSD,NM_138326.2
RAB3GAP1,NM_012233.2
LCT,NM_002299.2
DARS,NM_001349.3
CXCR4,NM_003467.2
CXCR4,NM_001008540.1
THSD7B,NM_001080427.1
HNMT,NM_006895.2
LRP1B,NM_018557.2
KYNU,NM_003937.2
ZEB2,NM_014795.3
ORC4,NM_002552.4
MBD5,NM_018328.4
KIF5C,NM_004522.2
MMADHC,NM_015702.2
RBM43,NM_198557.2
RIF1,NM_018151.4
NEB,NM_001271208.1
NEB,NM_004543.4
CACNB4,NM_000726.3
FMNL2,NM_052905.3
ARL6IP6,NM_152522.5
NR4A2,NM_006186.3
GPD2,NM_001083112.2
GALNT5,NM_014568.1
ACVR1,NM_001105.4
TANC1,NM_033394.2
BAZ2B,NM_001289975.1
LY75,NM_002349.3
LY75-CD302,NM_001198759.1
PLA2R1,NM_007366.4
ITGB6,NM_000888.4
TBR1,NM_006593.2
SLC4A10,NM_022058.3
DPP4,NM_001935.3
FAP,NM_004460.3
IFIH1,NM_022168.3
KCNH7,NM_033272.3
COBLL1,NM_014900.4
SCN3A,NM_006922.3
SCN2A,NM_021007.2
GALNT3,NM_004482.3
TTC21B,NM_024753.4
SCN1A,NM_001165963.1
SCN9A,NM_002977.3
XIRP2,NM_001199143.1
XIRP2,NM_152381.5
CERS6,NM_203463.2
G6PC2,NM_021176.2
ABCB11,NM_003742.2
LRP2,NM_004525.2
BBS5,NM_152384.2
KLHL41,NM_006063.2
PPIG,NM_004792.2
METTL5,NM_014168.3
UBR3,NM_172070.3
MYO3B,NM_138995.4
GAD1,NM_000817.2
TLK1,NM_012290.4
DCAF17,NM_025000.3
CYBRD1,NM_024843.3
SLC25A12,NM_003705.4
ITGA6,NM_000210.2
RAPGEF4,NM_007023.3
MAP3K20,NM_016653.2
CDCA7,NM_031942.4
CIR1,NM_004882.3
WIPF1,NM_001077269.1
CHRNA1,NM_000079.3
CHN1,NM_001822.5
HOXD13,NM_000523.3
HOXD11,NM_021192.2
HOXD10,NM_002148.3
HOXD4,NM_014621.2
NFE2L2,NM_006164.4
AGPS,NM_003659.3
PDE11A,NM_016953.3
RBM45,NM_152945.2
PRKRA,NM_003690.4
PJVK,NM_001042702.3
TTN,NM_001267550.2
TTN,NM_133378.4
TTN,NM_001256850.1
TTN,NM_003319.4
TTN,NM_133437.4
TTN,NM_133432.3
TTN,NM_133379.4
CCDC141,NM_173648.3
CWC22,NM_020943.2
ITGA4,NM_000885.4
CERKL,NM_001030311.2
NEUROD1,NM_002500.4
FRZB,NM_001463.3
NCKAP1,NM_205842.2
TFPI,NM_006287.4
COL3A1,NM_000090.3
COL5A2,NM_000393.3
SLC40A1,NM_014585.5
PMS1,NM_000534.4
MSTN,NM_005259.2
HIBCH,NM_014362.3
GLS,NM_014905.4
STAT1,NM_007315.3
STAT4,NM_003151.3
DNAH7,NM_018897.2
HECW2,NM_020760.2
GTF3C3,NM_012086.4
PGAP1,NM_024989.3
HSPD1,NM_002156.4
HSPE1,NM_002157.2
MOB4,NM_015387.4
MARS2,NM_138395.3
SATB2,NM_015265.3
KCTD18,NM_152387.2
SGO2,NM_152524.5
AOX1,NM_001159.3
NDUFB3,NM_002491.2
CFLAR,NM_003879.5
CFLAR,NM_001202518.1
CASP10,NM_032977.3
CASP8,NM_001228.4
TRAK2,NM_015049.2
TMEM237,NM_001044385.2
MPP4,NM_033066.2
ALS2,NM_020919.3
BMPR2,NM_001204.6
ABI2,NM_001282925.1
CTLA4,NM_005214.4
ICOS,NM_012092.3
PARD3B,NM_152526.5
NRP2,NM_201266.1
INO80D,NM_017759.4
NDUFS1,NM_005006.6
NDUFS1,NM_001199981.1
ZDBF2,NM_020923.2
FASTKD2,NM_001136194.1
FASTKD2,NM_014929.3
KLF7,NM_003709.3
CREB1,NM_134442.3
FZD5,NM_003468.3
CRYGD,NM_006891.3
CRYGC,NM_020989.3
CRYGB,NM_005210.3
CRYGA,NM_014617.3
IDH1,NM_005896.3
PIKFYVE,NM_015040.3
PTH2R,NM_005048.3
UNC80,NM_032504.1
ACADL,NM_001608.3
CPS1,NM_001875.4
ERBB4,NM_005235.2
SPAG16,NM_024532.4
BARD1,NM_000465.3
ABCA12,NM_173076.2
ATIC,NM_004044.6
FN1,NM_212482.1
PECR,NM_018441.5
SMARCAL1,NM_014140.3
IGFBP5,NM_000599.3
TNP1,NM_003284.3
TNS1,NM_022648.4
CXCR2,NM_001557.3
CXCR1,NM_000634.2
GPBAR1,NM_001077191.1
PNKD,NM_015488.4
SLC11A1,NM_000578.3
CTDSP1,NM_001206878.1
VIL1,NM_007127.2
PLCD4,NM_032726.3
ZNF142,NM_001105537.2
BCS1L,NM_004328.4
STK36,NM_015690.4
CYP27A1,NM_000784.3
PRKAG3,NM_017431.2
WNT6,NM_006522.3
WNT10A,NM_025216.2
CRYBA2,NM_057093.1
CFAP65,NM_194302.3
IHH,NM_002181.3
NHEJ1,NM_024782.2
ABCB6,NM_005689.2
ANKZF1,NM_018089.2
TUBA4A,NM_006000.2
DNAJB2,NM_001039550.1
DES,NM_001927.3
SPEG,NM_005876.4
GMPPA,NM_205847.2
ASIC4,NM_182847.2
OBSL1,NM_015311.2
OBSL1,NM_001173408.1
INHA,NM_002191.3
STK11IP,NM_052902.2
SLC4A3,NM_201574.2
EPHA4,NM_004438.4
PAX3,NM_181457.3
SGPP2,NM_152386.2
MOGAT1,NM_058165.2
KCNE4,NM_080671.3
AP1S3,NM_001039569.1
MRPL44,NM_022915.3
CUL3,NM_003590.4
DOCK10,NM_014689.2
IRS1,NM_005544.2
COL4A4,NM_000092.4
COL4A3,NM_000091.4
MFF,NM_020194.5
SLC19A3,NM_025243.3
DAW1,NM_178821.1
TRIP12,NM_004238.2
SP110,NM_004509.3
SP140,NM_007237.4
SP100,NM_001080391.1
ITM2C,NM_030926.5
GPR55,NM_005683.3
HTR2B,NM_000867.4
ARMC9,NM_025139.5
PDE6D,NM_002601.3
DIS3L2,NM_152383.4
ALPP,NM_001632.4
ECEL1,NM_004826.3
PRSS56,NM_001195129.1
CHRND,NM_000751.2
CHRNG,NM_005199.4
GIGYF2,NM_001103146.1
KCNJ13,NM_002242.4
NEU2,NM_005383.2
INPP5D,NM_001017915.2
ATG16L1,NM_017974.3
SAG,NM_000541.4
DGKD,NM_152879.2
UGT1A8,NM_019076.4
UGT1A10,NM_019075.2
UGT1A9,NM_021027.2
UGT1A7,NM_019077.2
UGT1A6,NM_001072.3
UGT1A5,NM_019078.1
UGT1A4,NM_007120.2
UGT1A3,NM_019093.2
UGT1A1,NM_000463.2
HJURP,NM_018410.4
SPP2,NM_006944.2
SH3BP4,NM_014521.2
AGAP1,NM_014914.4
ACKR3,NM_020311.2
COL6A3,NM_004369.3
MLPH,NM_024101.6
LRRFIP1,NM_004735.3
PER2,NM_022817.2
TRAF3IP1,NM_015650.3
ASB1,NM_001040445.1
TWIST2,NM_057179.2
HDAC4,NM_006037.3
NDUFA10,NM_004544.3
GPC1,NM_002081.2
CAPN10,NM_023083.3
KIF1A,NM_001244008.1
KIF1A,NM_004321.6
AGXT,NM_000030.2
PASK,NM_015148.3
HDLBP,NM_005336.4
FARP2,NM_014808.3
D2HGDH,NM_152783.4
GAL3ST2,NM_022134.2
PDCD1,NM_005018.2
CHL1,NM_006614.3
CNTN6,NM_014461.3
CNTN4,NM_175607.2
TRNT1,NM_182916.2
CRBN,NM_016302.3
SETMAR,NM_006515.3
SUMF1,NM_182760.3
ITPR1,NM_002222.5
EDEM1,NM_014674.2
GRM7,NM_000844.3
SSUH2,NM_015931.2
CAV3,NM_033337.2
OXTR,NM_000916.3
RAD18,NM_020165.3
SRGAP3,NM_014850.3
SETD5,NM_001080517.2
MTMR14,NM_022485.4
BRPF1,NM_001003694.1
OGG1,NM_002542.5
OGG1,NM_016828.2
OGG1,NM_016821.2
RPUSD3,NM_173659.3
CIDEC,NM_022094.3
JAGN1,NM_032492.3
IL17RC,NM_153461.3
CRELD1,NM_015513.4
CRELD1,NM_001031717.3
FANCD2,NM_033084.3
VHL,NM_000551.3
IRAK2,NM_001570.3
GHRL,NM_016362.4
ATP2B2,NM_001683.3
SLC6A11,NM_014229.1
SLC6A1,NM_003042.3
ATG7,NM_006395.2
SYN2,NM_133625.4
PPARG,NM_015869.4
TSEN2,NM_025265.3
RAF1,NM_002880.3
IQSEC1,NM_014869.6
NUP210,NM_024923.3
FBLN2,NM_001004019.1
WNT7A,NM_004625.3
TMEM43,NM_024334.2
XPC,NM_004628.4
LSM3,NM_014463.2
CCDC174,NM_016474.4
C3orf20,NM_001184957.1
RBSN,NM_022340.3
SH3BP5,NM_004844.4
COLQ,NM_005677.3
HACL1,NM_012260.3
BTD,NM_000060.3
DAZL,NM_001351.3
KAT2B,NM_003884.4
SGO1,NM_001199252.1
NR1D2,NM_005126.4
THRB,NM_000461.4
RARB,NM_000965.4
TOP2B,NM_001068.3
NGLY1,NM_018297.3
NEK10,NM_199347.3
SLC4A7,NM_003615.4
TGFBR2,NM_003242.5
TGFBR2,NM_001024847.2
STT3B,NM_178862.2
GPD1L,NM_015141.3
GLB1,NM_000404.2
CRTAP,NM_006371.4
CLASP2,NM_001207044.1
MLH1,NM_000249.3
ITGA9,NM_002207.2
PLCD1,NM_001130964.1
DLEC1,NM_007337.2
MYD88,NM_002468.4
SLC22A14,NM_004803.3
ACVR2B,NM_001106.3
SCN5A,NM_198056.2
SCN5A,NM_000335.4
SCN5A,NM_001160160.1
SCN10A,NM_006514.3
SCN11A,NM_014139.2
WDR48,NM_020839.3
GORASP1,NM_031899.3
XIRP1,NM_194293.2
CX3CR1,NM_001337.3
SLC25A38,NM_017875.2
RPSA,NM_002295.5
ZNF620,NM_175888.3
CTNNB1,NM_001904.3
ULK4,NM_017886.2
TRAK1,NM_001042646.2
KLHL40,NM_152393.3
ACKR2,NM_001296.4
POMGNT2,NM_032806.5
SNRK,NM_017719.4
ANO10,NM_018075.3
ABHD5,NM_016006.4
TOPAZ1,NM_001145030.1
ZNF445,NM_181489.5
KIF15,NM_020242.2
TGM4,NM_003241.3
CLEC3B,NM_003278.2
LARS2,NM_015340.3
LIMD1,NM_014240.2
SLC6A20,NM_020208.3
LZTFL1,NM_020347.3
FYCO1,NM_024513.3
CCR3,NM_001837.3
CCR2,NM_001123041.2
CCR5,NM_000579.3
CCRL2,NM_003965.4
LTF,NM_002343.4
TDGF1,NM_003212.3
TMIE,NM_147196.2
MYL3,NM_000258.2
PTH1R,NM_000316.2
NBEAL2,NM_015175.2
SETD2,NM_014159.6
KIF9,NM_182902.3
PTPN23,NM_015466.3
SMARCC1,NM_003074.3
DHX30,NM_138615.2
MAP4,NM_002375.4
CAMP,NM_004345.4
ZNF589,NM_016089.2
PLXNB1,NM_002673.5
ATRIP,NM_130384.2
TREX1,NM_016381.5
TREX1,NM_033629.4
COL7A1,NM_000094.3
SLC26A6,NM_022911.2
CELSR3,NM_001407.2
NCKIPSD,NM_016453.3
SLC25A20,NM_000387.5
WDR6,NM_018031.3
NDUFAF3,NM_199069.1
IMPDH2,NM_000884.2
QRICH1,NM_017730.2
QARS,NM_005051.2
USP19,NM_001199162.1
LAMB2,NM_002292.3
KLHDC8B,NM_173546.2
GPX1,NM_000581.2
AMT,NM_000481.3
DAG1,NM_004393.5
BSN,NM_003458.3
MST1,NM_020998.3
GMPPB,NM_013334.3
UBA7,NM_003335.2
TRAIP,NM_005879.2
MST1R,NM_002447.2
SEMA3F,NM_004186.3
GNAT1,NM_144499.2
HYAL1,NM_153281.1
HYAL2,NM_033158.4
RASSF1,NM_007182.4
ZMYND10,NM_015896.2
NPRL2,NM_006545.4
CACNA2D2,NM_006030.3
MAPKAPK3,NM_001243926.1
DOCK3,NM_004947.4
MANF,NM_006010.5
RBM15B,NM_013286.4
RAD54L2,NM_015106.2
ABHD14B,NM_001146314.1
ACY1,NM_000666.2
POC1A,NM_015426.4
ALAS1,NM_000688.5
TLR9,NM_017442.3
GLYCTK,NM_145262.3
DNAH1,NM_015512.4
BAP1,NM_004656.3
PHF7,NM_016483.5
TNNC1,NM_003280.2
NISCH,NM_007184.3
STAB1,NM_015136.2
GLT8D1,NM_152932.2
NEK4,NM_003157.4
ITIH1,NM_002215.3
ITIH3,NM_002217.3
ITIH4,NM_002218.4
RFT1,NM_052859.3
PRKCD,NM_006254.3
TKT,NM_001135055.2
CACNA1D,NM_001128839.2
CACNA1D,NM_000720.3
CHDH,NM_018397.4
IL17RB,NM_018725.3
CACNA2D3,NM_018398.2
WNT5A,NM_003392.4
ARHGEF3,NM_001128615.1
IL17RD,NM_017563.3
HESX1,NM_003865.2
APPL1,NM_012096.2
DNAH12,NM_001291661.1
ARF4,NM_001660.3
SLMAP,NM_007159.3
FLNB,NM_001457.3
DNASE1L3,NM_004944.3
ABHD6,NM_020676.5
PDHB,NM_000925.3
KCTD6,NM_001128214.1
ACOX2,NM_003500.3
C3orf67,NM_198463.2
PTPRG,NM_002841.3
FEZF2,NM_018008.3
CADPS,NM_003716.3
SYNPR,NM_144642.4
ATXN7,NM_000333.3
PRICKLE2,NM_198859.3
SLC25A26,NM_173471.3
LRIG1,NM_015541.2
KBTBD8,NM_032505.2
SUCLG2,NM_001177599.1
EOGT,NM_173654.2
UBA3,NM_003968.3
LMOD3,NM_198271.4
MITF,NM_006722.2
MITF,NM_000248.3
FOXP1,NM_032682.5
FOXP1,NM_001244813.1
PROK2,NM_001126128.1
GXYLT2,NM_001080393.1
CNTN3,NM_020872.2
ROBO2,NM_002942.4
ROBO1,NM_002941.3
GBE1,NM_000158.3
CADM2,NM_001167674.1
CHMP2B,NM_014043.3
POU1F1,NM_000306.3
PROS1,NM_000313.3
ARL13B,NM_182896.2
STX19,NM_001001850.2
NSUN3,NM_022072.3
ARL6,NM_177976.2
CRYBG3,NM_153605.3
GABRR3,NM_001105580.2
OR5AC2,NM_054106.1
OR5H14,NM_001005514.1
OR5H6,NM_001005479.1
CPOX,NM_000097.5
ST3GAL6,NM_006100.3
DCBLD2,NM_080927.3
TBC1D23,NM_001199198.2
ADGRG7,NM_032787.2
TFG,NM_006070.5
ABI3BP,NM_015429.3
IMPG2,NM_016247.3
TRMT10C,NM_017819.3
CEP97,NM_024548.3
NFKBIZ,NM_031419.3
ALCAM,NM_001627.3
CBLB,NM_170662.3
IFT57,NM_018010.3
MYH15,NM_014981.1
CD96,NM_198196.2
PHLDB2,NM_001134438.1
BTLA,NM_181780.3
NEPRO,NM_015412.3
BOC,NM_033254.3
CFAP44,NM_018338.3
SPICE1,NM_144718.3
USF3,NM_001009899.3
ATP6V1A,NM_001690.3
QTRT2,NM_024638.3
DRD3,NM_000796.5
ZBTB20,NM_001164342.2
GAP43,NM_001130064.1
ARHGAP31,NM_020754.3
TMEM39A,NM_018266.2
POGLUT1,NM_152305.2
TIMMDC1,NM_016589.3
MAATS1,NM_033364.3
NR1I2,NM_003889.3
GSK3B,NM_002093.3
NDUFB4,NM_004547.5
HGD,NM_000187.3
GTF2E1,NM_005513.2
STXBP5L,NM_014980.2
POLQ,NM_199420.3
HCLS1,NM_005335.5
GOLGB1,NM_001256486.1
IQCB1,NM_001023570.2
ILDR1,NM_001199799.1
CD86,NM_006889.4
CASR,NM_000388.3
CSTA,NM_005213.3
ADCY5,NM_183357.2
MYLK,NM_053025.3
CCDC14,NM_022757.4
kalrntv2,NM_003947.4
KALRN,NM_007064.3
UMPS,NM_000373.3
MUC13,NM_033049.3
ZNF148,NM_021964.2
ZXDC,NM_001040653.3
UROC1,NM_144639.2
PLXNA1,NM_032242.3
MCM2,NM_004526.3
MGLL,NM_007283.6
SEC61A1,NM_013336.3
RUVBL1,NM_003707.2
GATA2,NM_032638.4
RAB7A,NM_004637.5
ACAD9,NM_014049.4
GP9,NM_000174.4
MBD4,NM_003925.2
IFT122,NM_052985.3
RHO,NM_000539.3
PLXND1,NM_015103.2
TRH,NM_007117.4
COL6A5,NM_001278298.1
COL6A6,NM_001102608.1
PIK3R4,NM_014602.2
ATP2C1,NM_014382.3
ASTE1,NM_001288950.1
NEK11,NM_024800.4
MRPL3,NM_007208.3
DNAJC13,NM_015268.3
UBA5,NM_024818.3
NPHP3,NM_153240.4
BFSP2,NM_003571.3
TOPBP1,NM_007027.3
TF,NM_001063.3
SLCO2A1,NM_005630.2
RYK,NM_001005861.2
CEP63,NM_025180.3
KY,NM_178554.4
PCCB,NM_000532.4
STAG1,NM_005862.2
SLC35G2,NM_001097599.1
IL20RB,NM_144717.3
DZIP1L,NM_173543.2
MRAS,NM_012219.4
ESYT3,NM_031913.3
FOXL2,NM_023067.3
MRPS22,NM_020191.2
COPB2,NM_004766.2
RBP1,NM_002899.3
CLSTN2,NM_022131.2
ZBTB38,NM_001080412.2
RASA2,NM_006506.3
ATR,NM_001184.3
PAQR9,NM_198504.2
SLC9A9,NM_173653.3
PLOD2,NM_182943.2
ZIC1,NM_003412.3
AGTR1,NM_031850.3
GYG1,NM_004130.3
HPS3,NM_032383.3
CP,NM_000096.3
CLRN1,NM_174878.2
CLRN1,NM_052995.2
P2RY12,NM_022788.4
IGSF10,NM_178822.4
AADACL2,NM_207365.3
AADAC,NM_001086.2
MBNL1,NM_021038.3
ARHGEF26,NM_015595.3
DHX36,NM_020865.2
GPR149,NM_001038705.1
MME,NM_007289.2
SLC33A1,NM_004733.3
KCNAB1,NM_172160.2
LEKR1,NM_001004316.2
PTX3,NM_002852.3
SHOX2,NM_003030.4
RSRC1,NM_016625.3
GFM1,NM_024996.5
IFT80,NM_020800.2
B3GALNT1,NM_003781.3
SI,NM_001041.3
BCHE,NM_000055.2
ZBBX,NM_001199201.1
SERPINI2,NM_006217.4
PDCD10,NM_145860.1
SERPINI1,NM_005025.4
MECOM,NM_001105078.3
SKIL,NM_005414.4
SLC7A14,NM_020949.2
SLC2A2,NM_000340.1
TNIK,NM_015028.2
PLD1,NM_002662.4
GHSR,NM_198407.2
SPATA16,NM_031955.5
NLGN1,NM_014932.3
TBL1XR1,NM_024665.4
PIK3CA,NM_006218.2
KCNMB3,NM_171830.1
GNB4,NM_021629.3
ACTL6A,NM_004301.4
CCDC39,NM_181426.1
DNAJC19,NM_145261.3
SOX2,NM_003106.3
ATP11B,NM_014616.2
MCCC1,NM_020166.4
MCF2L2,NM_015078.3
KLHL6,NM_130446.2
KLHL24,NM_017644.3
PARL,NM_018622.5
HTR3C,NM_130770.2
EIF2B5,NM_003907.2
DVL3,NM_004423.3
ALG3,NM_005787.5
PSMD2,NM_002808.4
EIF4G1,NM_198241.2
CLCN2,NM_004366.5
THPO,NM_000460.3
CHRD,NM_003741.3
VPS8,NM_001009921.2
EHHADH,NM_001966.3
LIPH,NM_139248.2
ETV5,NM_004454.2
CRYGS,NM_017541.2
AHSG,NM_001622.2
HRG,NM_000412.3
KNG1,NM_001102416.2
KNG1,NM_000893.3
EIF4A2,NM_001967.3
ADIPOQ,NM_004797.3
RTP1,NM_153708.2
MASP1,NM_001879.5
MASP1,NM_139125.3
BCL6,NM_001706.4
TP63,NM_003722.4
TP63,NM_001114980.1
P3H2,NM_018192.3
CLDN1,NM_021101.4
CLDN16,NM_006580.3
CCDC50,NM_178335.2
FGF12,NM_021032.4
ATP13A5,NM_198505.2
ATP13A4,NM_032279.3
OPA1,NM_015560.2
OPA1,NM_130837.2
APOD,NM_001647.3
MUC4,NM_004532.5
TNK2,NM_005781.4
TNK2,NM_001010938.1
TFRC,NM_003234.2
PCYT1A,NM_005017.2
TCTEX1D2,NM_152773.4
TM4SF19,NM_138461.3
RNF168,NM_152617.3
FBXO45,NM_001105573.1
NRROS,NM_198565.2
CEP19,NM_032898.4
MELTF,NM_005929.5
DLG1,NM_001098424.1
BDH1,NM_004051.4
RUBCN,NM_001145642.3
FYTTD1,NM_032288.6
LRCH3,NM_032773.3
RPL35A,NM_000996.2
ZNF141,NM_003441.2
ZNF721,NM_133474.3
PIGG,NM_001127178.2
PDE6B,NM_000283.3
CPLX1,NM_006651.3
GAK,NM_005255.2
IDUA,NM_000203.4
SLC26A1,NM_213613.3
FGFRL1,NM_001004356.2
CTBP1,NM_001328.2
UVSSA,NM_020894.2
CRIPAK,NM_175918.3
SLBP,NM_006527.2
FGFR3,NM_000142.4
NSD2,NM_133330.2
NAT8L,NM_178557.3
SH3BP2,NM_003023.4
ADD1,NM_014190.3
GRK4,NM_182982.2
MSANTD1,NM_001042690.1
RGS12,NM_198229.2
HGFAC,NM_001297439.1
DOK7,NM_173660.4
LRPAP1,NM_002337.3
ADRA2C,NM_000683.3
STX18,NM_016930.2
MSX1,NM_002448.3
CYTL1,NM_018659.2
EVC2,NM_147127.4
EVC,NM_153717.2
JAKMIP1,NM_001099433.1
WFS1,NM_006005.3
KIAA0232,NM_014743.2
GRPEL1,NM_025196.2
PSAPL1,NM_001085382.1
HTRA3,NM_053044.4
TRMT44,NM_152544.2
CPZ,NM_003652.3
HMX1,NM_018942.2
DRD5,NM_000798.4
SLC2A9,NM_020041.2
WDR1,NM_017491.3
ZNF518B,NM_053042.2
RAB28,NM_004249.3
NKX3-2,NM_001189.3
CC2D2A,NM_020785.2
CC2D2A,NM_001080522.2
BST1,NM_004334.2
CD38,NM_001775.2
FGFBP1,NM_005130.4
PROM1,NM_006017.2
TAPT1,NM_153365.2
QDPR,NM_000320.2
SLIT2,NM_004787.2
ADGRA3,NM_145290.3
PPARGC1A,NM_013261.3
SOD3,NM_003102.2
SEPSECS,NM_016955.3
SLC34A2,NM_006424.2
SEL1L3,NM_015187.4
RBPJ,NM_005349.3
CCKAR,NM_000730.2
PCDH7,NM_001173523.1
DTHD1,NM_001136536.4
TBC1D1,NM_015173.3
TBC1D1,NM_001253912.1
TLR10,NM_030956.3
TLR1,NM_003263.3
TLR6,NM_006068.4
WDR19,NM_025132.3
RFC1,NM_001204747.1
KLB,NM_175737.3
RPL9,NM_000661.4
LIAS,NM_006859.3
UGDH,NM_003359.3
RHOH,NM_004310.4
CHRNA9,NM_017581.3
NSUN7,NM_024677.4
UCHL1,NM_004181.4
PHOX2B,NM_003924.3
SLC30A9,NM_006345.3
GRXCR1,NM_001080476.2
GUF1,NM_021927.2
GABRG1,NM_173536.3
GABRA4,NM_000809.3
GABRB1,NM_000812.3
ATP10D,NM_020453.3
CORIN,NM_006587.3
NFXL1,NM_152995.5
CNGA1,NM_000087.3
SLAIN2,NM_020846.1
SGCB,NM_000232.4
USP46,NM_022832.3
PDGFRA,NM_006206.4
KIT,NM_000222.2
KDR,NM_002253.2
SRD5A3,NM_024592.4
TMEM165,NM_018475.4
CLOCK,NM_004898.3
NMU,NM_006681.3
EXOC1,NM_018261.3
CEP135,NM_025009.4
AASDH,NM_181806.3
PPAT,NM_002703.4
SRP72,NM_006947.3
SPINK2,NM_021114.3
REST,NM_005612.4
IGFBP7,NM_001553.2
TECRL,NM_001010874.4
STAP1,NM_012108.2
GNRHR,NM_000406.2
TMPRSS11D,NM_004262.2
TMPRSS11A,NM_182606.3
YTHDC1,NM_001031732.2
UGT2B15,NM_001076.3
UGT2B10,NM_001075.5
UGT2A3,NM_024743.3
UGT2B7,NM_001074.2
UGT2A1,NM_006798.4
SULT1B1,NM_014465.3
SULT1E1,NM_005420.2
HTN3,NM_000200.2
AMBN,NM_016519.5
ENAM,NM_031889.2
RUFY3,NM_001037442.3
GRSF1,NM_002092.3
DCK,NM_000788.2
SLC4A4,NM_003759.3
GC,NM_000583.3
NPFFR2,NM_004885.2
ADAMTS3,NM_014243.2
ALB,NM_000477.5
AFP,NM_001134.2
CXCL8,NM_000584.3
CXCL5,NM_002994.4
BTC,NM_001729.2
PARM1,NM_015393.3
ODAPH,NM_178497.3
PPEF2,NM_006239.2
CXCL11,NM_005409.4
SCARB2,NM_005506.3
FAM47E,NM_001242936.1
SHROOM3,NM_020859.3
FRAS1,NM_025074.6
BMP2K,NM_198892.1
GK2,NM_033214.2
ANTXR2,NM_058172.5
PRDM8,NM_020226.3
FGF5,NM_004464.3
HNRNPD,NM_031369.2
HNRNPDL,NM_031372.3
SEC31A,NM_001077206.2
COQ2,NM_015697.7
HELQ,NM_133636.3
ABRAXAS1,NM_139076.2
WDFY3,NM_014991.4
ARHGAP24,NM_001025616.2
PTPN13,NM_080685.2
SPARCL1,NM_004684.5
DSPP,NM_014208.3
DMP1,NM_004407.3
IBSP,NM_004967.3
SPP1,NM_001040058.1
PKD2,NM_000297.3
ABCG2,NM_004827.2
PPM1K,NM_152542.4
HERC6,NM_017912.3
PIGY,NM_001042616.2
TIGD2,NM_145715.2
GPRIN3,NM_198281.2
SNCA,NM_000345.3
GRID2,NM_001510.3
ATOH1,NM_005172.1
SMARCAD1,NM_001128429.2
SMARCAD1,NM_001254949.1
PDLIM5,NM_006457.4
BMPR1B,NM_001203.2
UNC5C,NM_003728.3
ADH5,NM_000671.4
ADH4,NM_000670.3
ADH1B,NM_000668.5
ADH1C,NM_000669.4
ADH7,NM_000673.4
TRMT10A,NM_152292.4
MTTP,NM_000253.3
PPP3CA,NM_000944.4
BANK1,NM_017935.4
SLC39A8,NM_022154.5
NFKB1,NM_003998.3
MANBA,NM_005908.3
CISD2,NM_001008388.4
CENPE,NM_001813.2
TACR3,NM_001059.2
TET2,NM_001127208.2
PPA2,NM_176869.2
GSTCD,NM_001031720.3
